Edad;Hombre;Mujeres;Categoría
0;-169800;160168;Total España
1;-178921;168032;Total España
2;-178154;169912;Total España
3;-190572;180252;Total España
4;-200440;190155;Total España
5;-214698;202169;Total España
6;-225565;213178;Total España
7;-231943;219306;Total España
8;-236850;222618;Total España
9;-234395;221085;Total España
10;-248245;233380;Total España
11;-254156;239146;Total España
12;-259729;245136;Total España
13;-264723;248455;Total España
14;-276257;259775;Total España
15;-266390;250950;Total España
16;-265790;250225;Total España
17;-261546;246068;Total España
18;-264715;246596;Total España
19;-262996;247530;Total España
20;-258128;240923;Total España
21;-258220;242482;Total España
22;-262775;246143;Total España
23;-256872;244497;Total España
24;-253109;239841;Total España
25;-257588;247377;Total España
26;-256337;247592;Total España
27;-259688;250339;Total España
28;-263513;255384;Total España
29;-271644;264010;Total España
30;-278630;272290;Total España
31;-278189;271388;Total España
32;-280693;276333;Total España
33;-284117;281866;Total España
34;-288457;287516;Total España
35;-291210;291269;Total España
36;-296284;299325;Total España
37;-306067;308472;Total España
38;-316872;319509;Total España
39;-327420;329170;Total España
40;-345547;346212;Total España
41;-360609;359076;Total España
42;-377916;374858;Total España
43;-387343;384286;Total España
44;-404745;398729;Total España
45;-410843;401814;Total España
46;-416290;409033;Total España
47;-413579;404397;Total España
48;-408632;402055;Total España
49;-397587;391134;Total España
50;-394484;389854;Total España
51;-386474;383647;Total España
52;-379656;378513;Total España
53;-373092;374841;Total España
54;-367586;371961;Total España
55;-367472;374861;Total España
56;-357123;364887;Total España
57;-351388;362766;Total España
58;-353900;367219;Total España
59;-334961;348521;Total España
60;-321031;337131;Total España
61;-311291;329018;Total España
62;-309848;329622;Total España
63;-299397;319535;Total España
64;-289561;311700;Total España
65;-279455;303926;Total España
66;-257702;282536;Total España
67;-248033;274084;Total España
68;-233187;261488;Total España
69;-231761;259479;Total España
70;-228126;256222;Total España
71;-209968;240160;Total España
72;-200932;232837;Total España
73;-203858;241061;Total España
74;-208573;249522;Total España
75;-186291;225812;Total España
76;-172605;214313;Total España
77;-174492;220468;Total España
78;-160712;206344;Total España
79;-152318;199657;Total España
80;-126192;168022;Total España
81;-111003;151568;Total España
82;-127248;181220;Total España
83;-77384;116940;Total España
84;-82092;127108;Total España
85;-84542;135919;Total España
86;-82899;140913;Total España
87;-73122;126973;Total España
88;-63440;116012;Total España
89;-55346;106630;Total España
90;-46798;94185;Total España
91;-36660;77045;Total España
92;-28923;66529;Total España
93;-21315;52006;Total España
94;-16128;41830;Total España
95;-10961;30762;Total España
96;-7785;23547;Total España
97;-5186;16806;Total España
98;-3554;11987;Total España
99;-2371;8243;Total España
100+;-2578;12082;Total España
0;-7203;6781;España rural
1;-7698;7235;España rural
2;-7465;7073;España rural
3;-7949;7499;España rural
4;-8358;7934;España rural
5;-8660;8270;España rural
6;-9113;8611;España rural
7;-9622;9115;España rural
8;-9646;9019;España rural
9;-9456;8944;España rural
10;-10294;9573;España rural
11;-10317;9877;España rural
12;-10455;10142;España rural
13;-10726;10035;España rural
14;-11248;10632;España rural
15;-11006;10221;España rural
16;-10940;10177;España rural
17;-11318;10298;España rural
18;-11272;10384;España rural
19;-11287;10703;España rural
20;-11529;10289;España rural
21;-11753;10763;España rural
22;-12218;10901;España rural
23;-12179;10833;España rural
24;-12215;10532;España rural
25;-12745;11090;España rural
26;-12293;10787;España rural
27;-12763;10947;España rural
28;-12812;11199;España rural
29;-13215;11549;España rural
30;-13985;11924;España rural
31;-14011;12175;España rural
32;-14510;12314;España rural
33;-14910;12551;España rural
34;-15182;12985;España rural
35;-15166;12949;España rural
36;-15834;13311;España rural
37;-15844;13530;España rural
38;-16574;13889;España rural
39;-16881;14267;España rural
40;-17785;14873;España rural
41;-18690;15568;España rural
42;-19670;16276;España rural
43;-19977;16746;España rural
44;-20845;17388;España rural
45;-21378;17285;España rural
46;-22181;18142;España rural
47;-22019;18135;España rural
48;-22005;18061;España rural
49;-22120;18157;España rural
50;-22294;18307;España rural
51;-22610;18537;España rural
52;-22749;18933;España rural
53;-23609;19383;España rural
54;-23875;19781;España rural
55;-24476;20085;España rural
56;-24152;20371;España rural
57;-24438;20468;España rural
58;-25277;21387;España rural
59;-24886;20463;España rural
60;-24445;20119;España rural
61;-24446;20260;España rural
62;-24337;20232;España rural
63;-23989;19239;España rural
64;-22994;18514;España rural
65;-22284;18152;España rural
66;-20435;16940;España rural
67;-19714;16105;España rural
68;-18776;15698;España rural
69;-18686;15525;España rural
70;-18434;15674;España rural
71;-16802;14808;España rural
72;-16415;14602;España rural
73;-16276;15318;España rural
74;-16847;16060;España rural
75;-15162;14860;España rural
76;-14125;14276;España rural
77;-14433;15239;España rural
78;-13864;14371;España rural
79;-13143;14684;España rural
80;-11248;13046;España rural
81;-10315;12223;España rural
82;-11754;14751;España rural
83;-7266;9333;España rural
84;-7816;10438;España rural
85;-8757;12071;España rural
86;-9424;13466;España rural
87;-8160;12145;España rural
88;-7444;11388;España rural
89;-6587;10798;España rural
90;-5747;9492;España rural
91;-4625;7941;España rural
92;-3922;6927;España rural
93;-2757;5519;España rural
94;-2221;4620;España rural
95;-1531;3246;España rural
96;-1157;2608;España rural
97;-720;1865;España rural
98;-550;1302;España rural
99;-339;964;España rural
100+;-435;1429;España rural
